1|simple_facts-6c3396ab0e|8cb2abb5ae0980e9ceed6c548d226eaadd15e17001eff6ed6e68d4028cd4996b|{"model":"echo","provider_impl":"echo"}|0|What is the capital of France?||||||2026-06-17T11:32:11.419981+00:00
2|simple_facts-6f15ed24ec|8cb2abb5ae0980e9ceed6c548d226eaadd15e17001eff6ed6e68d4028cd4996b|{"model":"echo","provider_impl":"echo"}|0|What software company is headquartered in Redmond, Washington?||||||2026-06-17T11:32:11.420360+00:00
3|simple_facts-2181fb382d|8cb2abb5ae0980e9ceed6c548d226eaadd15e17001eff6ed6e68d4028cd4996b|{"model":"echo","provider_impl":"echo"}|0|What is a word, phrase, number, or other sequence of characters that reads the same backward as forward?||||||2026-06-17T11:32:11.420790+00:00
4|simple_facts-d16a6169d0|8cb2abb5ae0980e9ceed6c548d226eaadd15e17001eff6ed6e68d4028cd4996b|{"model":"echo","provider_impl":"echo"}|0|What is the world's largest retailer as of 2026?||||||2026-06-17T11:32:11.421251+00:00
5|simple_facts-f5d3f4b24b|8cb2abb5ae0980e9ceed6c548d226eaadd15e17001eff6ed6e68d4028cd4996b|{"model":"echo","provider_impl":"echo"}|0|Which day of the week does the Jewish Sabbath begin?||||||2026-06-17T11:32:11.421667+00:00
6|simple_facts-413c6b2e37|8cb2abb5ae0980e9ceed6c548d226eaadd15e17001eff6ed6e68d4028cd4996b|{"model":"echo","provider_impl":"echo"}|0|What phone company produced the 3310?||||||2026-06-17T11:32:11.421985+00:00
7|simple_facts-7d5be28ddd|8cb2abb5ae0980e9ceed6c548d226eaadd15e17001eff6ed6e68d4028cd4996b|{"model":"echo","provider_impl":"echo"}|0|What company was initially known as "Blue Ribbon Sports"?||||||2026-06-17T11:32:11.422406+00:00
8|simple_facts-afd8036252|8cb2abb5ae0980e9ceed6c548d226eaadd15e17001eff6ed6e68d4028cd4996b|{"model":"echo","provider_impl":"echo"}|0|Which country has the highest life expectancy as of 2026?||||||2026-06-17T11:32:11.424627+00:00
9|simple_facts-2fa6e4b65c|8cb2abb5ae0980e9ceed6c548d226eaadd15e17001eff6ed6e68d4028cd4996b|{"model":"echo","provider_impl":"echo"}|0|What is the most common surname in the United States?||||||2026-06-17T11:32:11.425004+00:00
10|simple_facts-5c03ae8729|8cb2abb5ae0980e9ceed6c548d226eaadd15e17001eff6ed6e68d4028cd4996b|{"model":"echo","provider_impl":"echo"}|0|What art form is described as decorative handwriting or handwritten lettering?||||||2026-06-17T11:32:11.425347+00:00
